,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Zyryanka,65.75,150.85,-29.97,83,100,15.08,RU,1612053823
1,Tongliao,43.6125,122.2653,1.71,92,99,7.9,CN,1612053823
2,Kasiri,8.9412,-13.1148,75.42,79,0,3.74,SL,1612053823
3,Poum,-20.2333,164.0167,80.33,67,0,11.14,NC,1612053572
4,Yellowknife,62.456,-114.3525,-13.0,77,20,4.61,CA,1612053547
5,Albany,42.6001,-73.9662,17.01,59,5,5.01,US,1612053582
6,Castro,-24.7911,-50.0119,65.57,97,100,5.08,BR,1612053823
7,Arraial do Cabo,-22.9661,-42.0278,77.0,82,0,26.98,BR,1612053561
8,Saskylakh,71.9167,114.0833,-33.81,82,100,11.7,RU,1612053824
9,Santa Rosa,14.3122,121.1114,79.0,69,40,5.75,PH,1612053824
10,Upernavik,72.7868,-56.1549,-9.45,85,77,6.51,GL,1612053583
11,Gürsu,40.2188,29.1949,41.0,93,75,2.3,TR,1612053824
12,Mataura,-46.1927,168.8643,71.98,37,96,3.56,NZ,1612053824
13,Charters Towers,-20.1,146.2667,84.36,54,100,9.73,AU,1612053824
14,Punta Arenas,-53.15,-70.9167,51.8,62,0,26.46,CL,1612053704
15,Ushuaia,-54.8,-68.3,51.8,62,20,21.85,AR,1612053687
16,Lábrea,-7.2586,-64.7981,75.24,94,100,2.75,BR,1612053825
17,Kokoda,-8.8785,147.7407,77.81,65,100,6.42,PG,1612053825
18,Mareeba,-17.0,145.4333,91.0,62,40,11.5,AU,1612053825
19,Key West,24.5557,-81.7826,70.0,64,20,13.8,US,1612053825
20,Jamestown,42.097,-79.2353,18.0,86,1,3.44,US,1612053616
21,Assiut,27.181,31.1837,45.54,57,0,0.49,EG,1612053825
22,Avarua,-21.2078,-159.775,82.4,74,75,6.91,CK,1612053825
23,Mengyin,35.7069,117.9264,41.92,62,0,3.69,CN,1612053826
24,Sørland,67.667,12.6934,30.76,90,41,6.8,NO,1612053826
25,Rikitea,-23.1203,-134.9692,79.5,70,0,11.34,PF,1612053826
26,Chui,-33.6971,-53.4616,71.51,88,100,12.12,UY,1612053826
27,Marsá Maţrūḩ,31.3525,27.2453,60.78,58,0,14.7,EG,1612053826
28,Gillette,44.2911,-105.5022,33.8,75,90,9.22,US,1612053826
29,Saint-Philippe,-21.3585,55.7679,78.8,65,0,6.91,RE,1612053586
30,Almaznyy,48.0448,40.045,33.8,100,20,13.42,RU,1612053826
31,Mocuba,-16.8392,36.9856,72.93,97,98,0.63,MZ,1612053826
32,Skjervøy,70.0311,20.9714,28.09,87,100,5.5,NO,1612053826
33,Tasiilaq,65.6145,-37.6368,21.2,30,90,16.11,GL,1612053827
34,Hilo,19.7297,-155.09,80.6,54,75,9.22,US,1612053827
35,Edd,13.9297,41.6925,70.18,83,1,0.69,ER,1612053827
36,Cape Town,-33.9258,18.4232,71.01,77,75,5.75,ZA,1612053531
37,Kahului,20.8947,-156.47,78.8,57,40,18.41,US,1612053827
38,Carnarvon,-24.8667,113.6333,84.2,79,0,5.75,AU,1612053827
39,Haljala,59.4336,26.2614,22.41,98,100,7.58,EE,1612053827
40,Winsum,53.33,6.5208,27.0,93,24,3.02,NL,1612053827
41,Butaritari,3.0707,172.7902,81.23,78,53,18.37,KI,1612053827
42,Port Hedland,-20.3167,118.5667,87.8,58,75,12.66,AU,1612053828
43,Guerrero Negro,27.9769,-114.0611,60.84,65,100,15.99,MX,1612053828
44,Santa Helena,-2.2311,-45.3,74.7,94,100,1.9,BR,1612053695
45,Varhaug,58.6147,5.6457,28.99,100,40,1.14,NO,1612053828
46,Barcelona,41.3888,2.159,55.0,50,20,10.36,ES,1612053567
47,Adolfo López Mateos,28.4667,-107.3,51.4,45,0,10.13,MX,1612053828
48,Mazamari,-11.3258,-74.5308,69.35,82,98,1.28,PE,1612053828
49,Fairbanks,64.8378,-147.7164,-2.99,77,90,1.07,US,1612053629
50,East London,-33.0153,27.9116,69.93,85,70,3.36,ZA,1612053828
51,Torbay,47.6666,-52.7314,28.99,93,90,8.05,CA,1612053828
52,Tautira,-17.7333,-149.15,87.8,58,75,9.22,PF,1612053829
53,New Norfolk,-42.7826,147.0587,73.0,28,6,1.74,AU,1612053829
54,Ponta do Sol,32.6667,-17.1,59.0,74,45,1.99,PT,1612053829
55,Atuona,-9.8,-139.0333,79.25,73,62,17.56,PF,1612053577
56,Port-Gentil,-0.7193,8.7815,76.82,81,100,8.93,GA,1612053829
57,Yur’yev-Pol’skiy,56.5,39.6833,21.79,97,100,11.48,RU,1612053829
58,Lüderitz,-26.6481,15.1594,65.39,63,0,18.03,NA,1612053829
59,Itoman,26.1247,127.6694,62.6,51,20,5.75,JP,1612053744
60,Hobart,-42.8794,147.3294,73.0,40,20,11.5,AU,1612053549
61,Bathsheba,13.2167,-59.5167,78.8,73,40,17.27,BB,1612053597
62,Thompson,55.7435,-97.8558,14.0,92,90,2.3,CA,1612053729
63,Ribeira Grande,38.5167,-28.7,63.12,91,94,21.79,PT,1612053830
64,Marawi,7.9986,124.2928,81.0,80,43,1.01,PH,1612053830
65,Faanui,-16.4833,-151.75,81.75,70,31,8.03,PF,1612053830
66,São João dos Patos,-6.495,-43.7022,70.75,89,100,2.19,BR,1612053830
67,Kālīganj,23.4095,89.1402,48.36,52,0,5.39,BD,1612053830
68,Mount Isa,-20.7333,139.5,95.0,28,79,5.75,AU,1612053788
69,George Town,5.4112,100.3354,77.0,83,20,6.46,MY,1612053556
70,Alyangula,-13.8483,136.4192,86.0,70,0,8.05,AU,1612053830
71,Severnyy-Kospashskiy,59.0925,57.8008,12.99,61,100,1.99,RU,1612053830
72,Isangel,-19.55,169.2667,82.65,70,7,18.39,VU,1612053726
73,Huarmey,-10.0681,-78.1522,71.02,78,31,8.55,PE,1612053666
74,Amudat,1.95,34.95,63.45,61,80,2.91,UG,1612053831
75,Guiratinga,-16.3494,-53.7583,74.61,84,100,3.67,BR,1612053831
76,Tiksi,71.6872,128.8694,-27.38,86,100,5.08,RU,1612053831
77,Yishui,35.7847,118.6281,40.1,69,0,5.75,CN,1612053831
78,Port Alfred,-33.5906,26.891,62.01,92,0,1.01,ZA,1612053831
79,Bambous Virieux,-20.3428,57.7575,78.8,83,40,8.05,MU,1612053831
80,Yumen,40.2833,97.2,21.65,73,0,22.82,CN,1612053832
81,Lebu,-37.6167,-73.65,56.5,85,1,12.01,CL,1612053832
82,Nelson Bay,-32.7167,152.15,80.6,74,75,13.8,AU,1612053832
83,Islāmnagar,28.3333,78.7167,45.52,54,0,4.81,IN,1612053832
84,Lompoc,34.6391,-120.4579,55.99,67,1,12.66,US,1612053832
85,Nadvoitsy,63.8667,34.3167,16.68,98,100,4.14,RU,1612053832
86,Kieta,-6.2167,155.6333,84.18,71,100,15.97,PG,1612053595
87,Sarwār,26.0667,75.0,45.68,54,0,1.3,IN,1612053832
88,Rabo de Peixe,37.8,-25.5833,62.6,88,75,16.11,PT,1612053832
89,Mar del Plata,-38.0023,-57.5575,62.01,63,75,18.41,AR,1612053551
90,Busselton,-33.65,115.3333,77.0,56,0,8.48,AU,1612053833
91,Souillac,-20.5167,57.5167,78.8,83,40,8.05,MU,1612053833
92,Concepción,-36.827,-73.0498,62.6,82,0,3.44,CL,1612053833
93,Hamilton,39.1834,-84.5333,32.0,93,90,10.36,US,1612053759
94,Cabedelo,-6.9811,-34.8339,78.8,83,0,5.75,BR,1612053546
95,Kenitra,34.261,-6.5802,57.2,100,75,4.61,MA,1612053625
96,Longyearbyen,78.2186,15.6401,-4.0,65,20,19.57,SJ,1612053834
97,La Rioja,42.25,-2.5,39.0,84,70,5.99,ES,1612053834
98,Båtsfjord,70.6345,29.7185,23.13,95,100,16.82,NO,1612053834
99,Ilulissat,69.2167,-51.1,6.8,61,90,8.05,GL,1612053834
100,Barrow,71.2906,-156.7887,-11.2,70,90,6.91,US,1612053686
101,Kamenka,51.3223,42.7678,35.01,93,100,4.0,RU,1612053614
102,Castaños,26.7833,-101.4167,80.6,32,20,6.91,MX,1612053731
103,Nemuro,43.3236,145.575,15.8,67,20,3.44,JP,1612053834
104,Dingle,10.9995,122.6711,78.03,80,87,16.17,PH,1612053592
105,Camaná,-16.6228,-72.7111,69.1,77,54,4.41,PE,1612053789
106,Port Elizabeth,-33.918,25.5701,62.6,94,0,6.91,ZA,1612053835
107,Namatanai,-3.6667,152.4333,84.52,67,100,13.22,PG,1612053835
108,Airai,-8.9266,125.4092,62.94,100,100,5.57,TL,1612053545
109,Bluff,-46.6,168.3333,58.21,68,98,7.4,NZ,1612053713
110,Vaini,-21.2,-175.2,86.0,79,75,13.8,TO,1612053836
111,Kapaa,22.0752,-159.319,78.8,65,75,14.97,US,1612053561
112,Eyl,7.9803,49.8164,70.72,83,47,10.56,SO,1612053836
113,Guarujá,-23.9931,-46.2564,78.01,65,0,8.05,BR,1612053601
114,Douentza,14.9951,-2.9517,62.19,27,0,3.69,ML,1612053836
115,Bethel,41.3712,-73.414,21.0,62,1,4.61,US,1612053672
116,Narsaq,60.9167,-46.05,39.2,28,75,33.38,GL,1612053545
117,Beringovskiy,63.05,179.3167,7.0,94,100,29.08,RU,1612053623
118,Kirovo-Chepetsk,58.5539,50.0399,17.46,97,100,7.45,RU,1612053837
119,Boguchany,58.3814,97.4531,-42.43,76,20,1.79,RU,1612053837
120,Pimentel,-6.8367,-79.9342,75.2,64,0,13.8,PE,1612053837
121,Guider,9.9342,13.9486,72.12,22,0,7.31,CM,1612053838
122,Naze,28.3667,129.4833,60.8,55,40,9.22,JP,1612053749
123,Bilibino,68.0546,166.4372,-26.52,79,0,5.53,RU,1612053838
124,Alofi,-19.0595,-169.9187,82.4,74,100,12.66,NU,1612053838
125,Touros,-5.1989,-35.4608,78.8,83,20,4.61,BR,1612053838
126,Hastings,50.8552,0.5729,39.0,81,81,10.0,GB,1612053838
127,Ponta Delgada,37.7333,-25.6667,62.6,88,75,16.11,PT,1612053839
128,Leeton,-34.5667,146.4,77.0,41,0,9.22,AU,1612053839
129,Vestmanna,62.1564,-7.1664,32.0,74,75,23.02,FO,1612053778
130,Hermanus,-34.4187,19.2345,66.99,84,0,9.35,ZA,1612053839
131,Khovu-Aksy,51.1333,93.6,-3.89,89,67,1.25,RU,1612053839
132,Chimbote,-9.0853,-78.5783,70.57,77,96,7.38,PE,1612053640
133,San Cristobal,7.7669,-72.225,65.71,72,84,1.39,VE,1612053839
134,Gijón,43.5357,-5.6615,54.0,88,100,5.99,ES,1612053549
135,Saint Paul Harbor,57.79,-152.4072,33.8,55,1,23.02,US,1612053840
136,Tessalit,20.1986,1.0114,61.95,24,0,11.3,ML,1612053789
137,Gouré,13.9835,10.2704,70.0,17,24,10.0,NE,1612053840
138,Leer,53.2316,7.461,24.01,85,32,1.14,DE,1612053840
139,Alice Springs,-23.7,133.8833,87.8,22,57,16.11,AU,1612053792
140,Esperance,-33.8667,121.9,68.0,64,0,13.8,AU,1612053840
141,Scarborough,54.2797,-0.4044,37.99,75,64,3.0,GB,1612053781
142,Iberia,29.9502,-91.7507,66.2,82,90,9.22,US,1612053841
143,Qaanaaq,77.484,-69.3632,-5.67,80,100,2.84,GL,1612053553
144,Saint George,37.1041,-113.5841,50.0,50,1,2.26,US,1612053841
145,Kopavogur,64.1123,-21.913,21.2,63,0,11.5,IS,1612053808
146,Tynda,55.1667,124.7167,-34.35,81,93,0.87,RU,1612053841
147,Åmot,59.5714,7.9877,12.02,89,0,7.2,NO,1612053841
148,Labytnangi,66.6572,66.4183,-17.48,87,100,5.19,RU,1612053841
149,Pingliang,35.5392,106.6861,31.05,71,49,1.05,CN,1612053841
150,Bredasdorp,-34.5322,20.0403,66.99,84,0,6.22,ZA,1612053577
151,Skibbereen,51.55,-9.2667,41.0,87,75,12.66,IE,1612053842
152,Iracoubo,5.4802,-53.2011,78.13,86,100,15.61,GF,1612053842
153,Raton,36.9034,-104.4391,46.4,25,75,4.61,US,1612053842
154,Fort Nelson,58.8053,-122.7002,-5.8,65,75,1.95,CA,1612053788
155,Ayna,-12.65,-73.9167,57.88,80,100,0.49,PE,1612053842
156,Qasigiannguit,68.8193,-51.1922,6.8,61,90,8.05,GL,1612053842
157,Olinda,-8.0089,-34.8553,78.8,69,40,9.22,BR,1612053842
158,Obihiro,42.9172,143.2044,23.0,42,20,6.91,JP,1612053843
159,Vila Franca do Campo,37.7167,-25.4333,62.6,88,75,16.11,PT,1612053843
160,Olafsvik,64.8945,-23.7142,23.04,89,30,16.82,IS,1612053843
161,Hambantota,6.1241,81.1185,75.2,100,20,9.22,LK,1612053843
162,Puerto Escondido,15.85,-97.0667,82.4,74,40,8.05,MX,1612053843
163,Moerai,-22.4333,-151.3333,80.8,68,38,11.3,PF,1612053843
164,Tateyama,34.9833,139.8667,52.0,62,20,5.75,JP,1612053784
165,Khatanga,71.9667,102.5,-47.02,78,40,0.72,RU,1612053843
166,Sakaiminato,35.55,133.2333,44.6,70,75,3.44,JP,1612053844
167,Bradford,53.7939,-1.7521,32.0,46,82,5.48,GB,1612053706
168,Japura,-0.3167,102.35,75.25,90,100,2.15,ID,1612053844
169,Lagoa,39.05,-27.9833,61.9,94,100,25.64,PT,1612053704
170,Zhob,31.3411,69.4481,43.88,51,0,2.28,PK,1612053844
171,Nikolskoye,59.7035,30.7861,25.0,93,75,4.47,RU,1612053551
172,Aswān,24.0934,32.907,53.31,42,0,8.46,EG,1612053844
173,Aksarka,66.5606,67.7975,-16.6,88,100,10.09,RU,1612053844
174,Sept-Îles,50.2001,-66.3821,19.4,63,51,6.91,CA,1612053844
175,Broken Hill,-31.95,141.4333,77.0,38,48,13.8,AU,1612053844
176,Dikson,73.5069,80.5464,-34.4,80,0,7.31,RU,1612053845
177,‘Ewa Beach,21.3156,-158.0072,80.6,54,75,6.91,US,1612053845
178,La Ronge,55.1001,-105.2842,12.2,85,6,1.14,CA,1612053845
179,Manakara,-22.1333,48.0167,75.58,89,0,4.18,MG,1612053845
180,Quatre Cocos,-20.2078,57.7625,78.8,83,40,8.05,MU,1612053845
181,Lázaro Cárdenas,17.9583,-102.2,77.59,78,0,3.6,MX,1612053845
182,Aksu,41.1231,80.2644,15.84,86,4,3.04,CN,1612053725
183,Cidreira,-30.1811,-50.2056,75.78,88,98,9.33,BR,1612053846
184,Mastic Beach,40.7668,-72.8521,26.01,53,1,11.45,US,1612053846
